date,close,SECID
2015-01-05,,ABRD
2015-01-06,,ABRD
2015-01-08,99.0,ABRD
2015-01-09,90.0,ABRD
2015-01-12,90.0,ABRD
2015-01-13,90.5,ABRD
2015-01-14,90.0,ABRD
2015-01-15,94.5,ABRD
2015-01-16,,ABRD
2015-01-19,98.5,ABRD
2015-01-20,98.0,ABRD
2015-01-21,,ABRD
2015-01-22,91.0,ABRD
2015-01-23,99.0,ABRD
2015-01-26,105.0,ABRD
2015-01-27,92.0,ABRD
2015-01-28,,ABRD
2015-01-29,93.0,ABRD
2015-01-30,,ABRD
2015-02-02,,ABRD
2015-02-03,,ABRD
2015-02-04,,ABRD
2015-02-05,,ABRD
2015-02-06,,ABRD
2015-02-09,105.0,ABRD
2015-02-10,,ABRD
2015-02-11,100.0,ABRD
2015-02-12,104.5,ABRD
2015-02-13,110.0,ABRD
2015-02-16,,ABRD
2015-02-17,101.0,ABRD
2015-02-18,,ABRD
2015-02-19,107.0,ABRD
2015-02-20,108.0,ABRD
2015-02-24,,ABRD
2015-02-25,,ABRD
2015-02-26,98.0,ABRD
2015-02-27,100.5,ABRD
2015-03-02,,ABRD
2015-03-03,98.5,ABRD
2015-03-04,100.0,ABRD
2015-03-05,100.0,ABRD
2015-03-06,106.0,ABRD
2015-03-10,,ABRD
2015-03-11,106.0,ABRD
2015-03-12,100.5,ABRD
2015-03-13,100.0,ABRD
2015-03-16,,ABRD
2015-03-17,99.0,ABRD
2015-03-18,,ABRD
2015-03-19,106.0,ABRD
2015-03-20,,ABRD
2015-03-23,106.5,ABRD
2015-03-24,94.0,ABRD
2015-03-25,93.5,ABRD
2015-03-26,92.5,ABRD
2015-03-27,95.0,ABRD
2015-03-30,89.5,ABRD
2015-03-31,99.0,ABRD
2015-04-01,,ABRD
2015-04-02,,ABRD
2015-04-03,,ABRD
2015-04-06,94.0,ABRD
2015-04-07,95.0,ABRD
2015-04-08,91.0,ABRD
2015-04-09,91.0,ABRD
2015-04-10,90.0,ABRD
2015-04-13,95.5,ABRD
2015-04-14,95.0,ABRD
2015-04-15,,ABRD
2015-04-16,,ABRD
2015-04-17,,ABRD
2015-04-20,95.0,ABRD
2015-04-21,86.0,ABRD
2015-04-22,82.5,ABRD
2015-04-23,82.0,ABRD
2015-04-24,80.0,ABRD
2015-04-27,84.5,ABRD
2015-04-28,81.5,ABRD
2015-04-29,,ABRD
2015-04-30,83.5,ABRD
2015-05-05,80.0,ABRD
2015-05-06,79.0,ABRD
2015-05-07,85.0,ABRD
2015-05-08,83.0,ABRD
2015-05-12,82.0,ABRD
2015-05-13,84.0,ABRD
2015-05-14,81.5,ABRD
2015-05-15,79.0,ABRD
2015-05-18,82.0,ABRD
2015-05-19,82.5,ABRD
2015-05-20,92.0,ABRD
2015-05-21,,ABRD
2015-05-22,83.5,ABRD
2015-05-25,,ABRD
2015-05-26,88.0,ABRD
2015-05-27,,ABRD
2015-05-28,89.0,ABRD
